Location,Count Date,Day,24 Hr. Total Vol.
106TH STREET E/O OSAGE AVENUE,04/04/2012 12:00:00 AM,Wed,1167
106TH STREET W/O BUDLONG AVENUE,09/30/2014 12:00:00 AM,Tue,2089
106TH STREET W/O BUDLONG AVENUE,03/02/2008 12:00:00 AM,Sun,1608
106TH STREET W/O BUDLONG AVENUE,03/01/2008 12:00:00 AM,Sat,1801
106TH STREET W/O BUDLONG AVENUE,02/29/2008 12:00:00 AM,Fri,2194
106TH STREET W/O BUDLONG AVENUE,02/28/2008 12:00:00 AM,Thur,2071
106TH STREET W/O DENKER AVENUE,03/02/2008 12:00:00 AM,Sun,1302
106TH STREET W/O DENKER AVENUE,03/01/2008 12:00:00 AM,Sat,1421
106TH STREET W/O DENKER AVENUE,02/29/2008 12:00:00 AM,Fri,1574
127TH STREET W/O CENTRAL AVENUE,12/17/2014 12:00:00 AM,Wed,377
106TH STREET W/O DENKER AVENUE,02/28/2008 12:00:00 AM,Thur,1443
106TH STREET W/O NORMANDIE AVENUE,03/02/2008 12:00:00 AM,Sun,1239
106TH STREET W/O NORMANDIE AVENUE,03/01/2008 12:00:00 AM,Sat,1398
106TH STREET W/O NORMANDIE AVENUE,02/29/2008 12:00:00 AM,Fri,1607
106TH STREET W/O NORMANDIE AVENUE,02/28/2008 12:00:00 AM,Thur,1490
106TH STREET W/O OSAGE AVENUE,08/08/2007 12:00:00 AM,Wed,1344
106TH STREET W/O RAVENSWOOD AVENUE,04/04/2012 12:00:00 AM,Wed,1068
106TH STREET W/O VERMONT AVENUE,09/30/2014 12:00:00 AM,Tue,2564
106TH STREET W/O VERMONT AVENUE,01/09/2008 12:00:00 AM,Wed,2431
106TH STREET W/O VERMONT AVENUE,01/08/2008 12:00:00 AM,Tue,2442
107TH STREET E/O DENKER AVENUE,05/23/2013 12:00:00 AM,Thur,614
107TH STREET E/O DENKER AVENUE,05/22/2013 12:00:00 AM,Wed,632
107TH STREET E/O DENKER AVENUE,05/21/2013 12:00:00 AM,Tue,687
107TH STREET W/O DENKER AVENUE,05/23/2013 12:00:00 AM,Thur,818
107TH STREET W/O DENKER AVENUE,05/22/2013 12:00:00 AM,Wed,623
107TH STREET W/O DENKER AVENUE,05/21/2013 12:00:00 AM,Tue,725
107TH STREET W/O PRAIRIE AVENUE,11/28/2007 12:00:00 AM,Wed,796
ARMSDALE AVENUE N/O KEESE DRIVE,12/17/2014 12:00:00 AM,Wed,460
108TH STREET E/O DENKER AVENUE,08/21/2012 12:00:00 AM,Tue,3717
108TH STREET E/O VAN NESS AVENUE,08/22/2012 12:00:00 AM,Wed,5424
108TH STREET W/O NORMANDIE AVENUE,03/28/2007 12:00:00 AM,Wed,4405
108TH STREET W/O NORMANDIE AVENUE,03/27/2007 12:00:00 AM,Tue,4237
108TH STREET W/O VERMONT AVENUE,08/21/2012 12:00:00 AM,Tue,551
108TH STREET W/O VERMONT AVENUE,07/25/2008 12:00:00 AM,Fri,620
108TH STREET W/O VERMONT AVENUE,07/24/2008 12:00:00 AM,Thur,602
109TH STREET E/O HOBART BOULEVARD,02/10/2009 12:00:00 AM,Tue,461
109TH STREET E/O REDFERN AVENUE,01/08/2013 12:00:00 AM,Tue,1460
109TH STREET E/O REDFERN AVENUE,01/07/2013 12:00:00 AM,Mon,1424
109TH STREET E/O VAN WICK STREET,04/18/2007 12:00:00 AM,Wed,477
109TH STREET E/O VAN WICK STREET,04/17/2007 12:00:00 AM,Tue,467
109TH STREET E/O VAN WICK STREET,04/16/2007 12:00:00 AM,Mon,402
109TH STREET E/O VAN WICK STREET,04/15/2007 12:00:00 AM,Sun,357
109TH STREET E/O VAN WICK STREET,04/14/2007 12:00:00 AM,Sat,437
109TH STREET E/O VAN WICK STREET,04/13/2007 12:00:00 AM,Fri,474
109TH STREET E/O VAN WICK STREET,04/12/2007 12:00:00 AM,Thur,484
122ND STREET E/O WILMINGTON AVENUE,12/17/2014 12:00:00 AM,Wed,737
109TH STREET W/O BUDLONG AVENUE,09/30/2014 12:00:00 AM,Tue,1524
109TH STREET W/O BUFORD AVENUE,01/08/2013 12:00:00 AM,Tue,834
109TH STREET W/O BUFORD AVENUE,01/07/2013 12:00:00 AM,Mon,825
109TH STREET W/O DENKER AVENUE,01/09/2008 12:00:00 AM,Wed,532
109TH STREET W/O DENKER AVENUE,01/08/2008 12:00:00 AM,Tue,493
109TH STREET W/O VERMONT AVENUE,09/30/2014 12:00:00 AM,Tue,1619
10TH AVENUE N/O BOLEY STREET,08/25/2010 12:00:00 AM,Wed,4195
10TH AVENUE N/O EDNUEL STREET,08/25/2010 12:00:00 AM,Wed,4118
10TH AVENUE N/O SANDRA STREET,08/25/2010 12:00:00 AM,Wed,2692
10TH STREET W N/O AVENUE O,11/20/2013 12:00:00 AM,Wed,14539
110TH STREET E N/O PALMDALE BOULEVARD,01/05/2010 12:00:00 AM,Tue,1253
110TH STREET W N/O AVENUE D,01/10/2010 12:00:00 AM,Sun,120
110TH STREET W N/O AVENUE D,01/09/2010 12:00:00 AM,Sat,127
110TH STREET W N/O AVENUE D,01/08/2010 12:00:00 AM,Fri,144
100TH STREET E N/O AVENUE E,05/12/2009 12:00:00 AM,Tue,101
100TH STREET E N/O AVENUE H,05/12/2009 12:00:00 AM,Tue,57
101ST STREET E S/O AVENUE S-10,02/10/2014 12:00:00 AM,Mon,311
122ND STREET E/O SAN PEDRO STREET,12/17/2014 12:00:00 AM,Wed,1018
GREENING AVENUE S/O BADMINTON AVENUE,12/17/2014 12:00:00 AM,Wed,1202
101ST STREET E S/O AVENUE S-10,02/09/2014 12:00:00 AM,Sun,305
101ST STREET E S/O AVENUE S-10,02/08/2014 12:00:00 AM,Sat,288
101ST STREET E S/O AVENUE S-10,02/07/2014 12:00:00 AM,Fri,312
101ST STREET E S/O AVENUE S-10,02/06/2014 12:00:00 AM,Thur,319
101ST STREET E/O DENKER AVENUE,03/26/2014 12:00:00 AM,Wed,661
102ND STREET W/O BUDLONG AVENUE,10/09/2013 12:00:00 AM,Wed,665
102ND STREET W/O NORMANDIE AVENUE,01/06/2014 12:00:00 AM,Mon,701
102ND STREET W/O VERMONT AVENUE,10/09/2013 12:00:00 AM,Wed,643
103RD STREET E N/O AVENUE S-14,11/13/2013 12:00:00 AM,Wed,42
103RD STREET E N/O AVENUE T,11/13/2013 12:00:00 AM,Wed,57
103RD STREET E/O CENTRAL AVENUE,08/31/2011 12:00:00 AM,Wed,12249
103RD STREET E/O CENTRAL AVENUE,08/30/2011 12:00:00 AM,Tue,12131
103RD STREET E/O CENTRAL AVENUE,08/29/2011 12:00:00 AM,Mon,12390
103RD STREET W/O VERMONT AVENUE,05/07/2008 12:00:00 AM,Wed,673
103RD STREET W/O VERMONT AVENUE,05/06/2008 12:00:00 AM,Tue,700
104TH STREET E/O DENKER AVENUE,02/10/2009 12:00:00 AM,Tue,849
104TH STREET E/O FREEMAN AVENUE,03/06/2013 12:00:00 AM,Wed,3216
LELAND AVENUE N/O LUKAY STREET,12/17/2014 12:00:00 AM,Wed,1924
104TH STREET E/O FREEMAN AVENUE,03/05/2013 12:00:00 AM,Tue,3285
104TH STREET E/O FREEMAN AVENUE,03/04/2013 12:00:00 AM,Mon,3371
104TH STREET E/O LARCH AVENUE,08/19/2013 12:00:00 AM,Mon,4790
104TH STREET E/O VAN NESS AVENUE,10/02/2013 12:00:00 AM,Wed,3385
104TH STREET E/O VAN NESS AVENUE,08/07/2013 12:00:00 AM,Wed,3116
104TH STREET W/O BUDLONG AVENUE,10/14/2012 12:00:00 AM,Sun,605
104TH STREET W/O BUDLONG AVENUE,10/13/2012 12:00:00 AM,Sat,505
112TH STREET E/O BUDLONG AVENUE,01/23/2011 12:00:00 AM,Sun,2110
112TH STREET E/O BUDLONG AVENUE,01/22/2011 12:00:00 AM,Sat,2361
112TH STREET E/O BUDLONG AVENUE,01/21/2011 12:00:00 AM,Fri,2425
112TH STREET E/O BUDLONG AVENUE,01/20/2011 12:00:00 AM,Thur,2240
112TH STREET W/O NEW HAMPSHIRE AVENUE,03/26/2014 12:00:00 AM,Wed,2706
115TH STREET E/O SAINT ANDREWS PLACE,05/05/2008 12:00:00 AM,Mon,1688
117TH PLACE E/O ALABAMA STREET,09/26/2010 12:00:00 AM,Sun,408
117TH PLACE E/O ALABAMA STREET,09/25/2010 12:00:00 AM,Sat,438
117TH PLACE E/O ALABAMA STREET,09/24/2010 12:00:00 AM,Fri,437
117TH PLACE E/O ALABAMA STREET,09/23/2010 12:00:00 AM,Thur,413
LELAND AVENUE N/O UTICA STREET,12/17/2014 12:00:00 AM,Wed,2062
117TH STREET E/O ALABAMA STREET,09/07/2010 12:00:00 AM,Tue,702
117TH STREET E/O COMPTON AVENUE,06/09/2014 12:00:00 AM,Mon,757
117TH STREET E/O COMPTON AVENUE,08/30/2010 12:00:00 AM,Mon,591
117TH STREET E/O WILLOWBROOK AVENUE,01/22/2014 12:00:00 AM,Wed,977
117TH STREET W/O LOU DILLON AVENUE,04/24/2008 12:00:00 AM,Thur,1211
117TH STREET W/O MONA BOULEVARD,09/25/2013 12:00:00 AM,Wed,900
118TH STREET E/O COMPTON AVENUE,10/19/2011 12:00:00 AM,Wed,2397
118TH STREET E/O COMPTON AVENUE,10/18/2011 12:00:00 AM,Tue,2394
118TH STREET E/O COMPTON AVENUE,08/30/2010 12:00:00 AM,Mon,2240
118TH STREET E/O WILLOWBROOK AVENUE,01/22/2014 12:00:00 AM,Wed,785
118TH STREET E/O WILLOWBROOK AVENUE,04/27/2008 12:00:00 AM,Sun,786
118TH STREET E/O WILLOWBROOK AVENUE,04/26/2008 12:00:00 AM,Sat,910
118TH STREET E/O WILLOWBROOK AVENUE,04/25/2008 12:00:00 AM,Fri,954
118TH STREET E/O WILLOWBROOK AVENUE,04/24/2008 12:00:00 AM,Thur,895
118TH STREET Volume HOLMES AVENUE,10/19/2011 12:00:00 AM,Wed,2579
118TH STREET Volume HOLMES AVENUE,10/18/2011 12:00:00 AM,Tue,2555
118TH STREET W/O AVIATION AVENUE,10/02/2013 12:00:00 AM,Wed,1357
WILLOWBROOK AVENUE N/O EL SEGUNDO BOULEVARD (E),12/17/2014 12:00:00 AM,Wed,2733
118TH STREET W/O JUDAH AVENUE,10/02/2013 12:00:00 AM,Wed,446
119TH PLACE E/O AVIATION BOULEVARD,09/03/2014 12:00:00 AM,Wed,583
119TH PLACE E/O JUDAH AVENUE,09/03/2014 12:00:00 AM,Wed,358
119TH STREET E/O WILLOWBROOK AVENUE,08/01/2012 12:00:00 AM,Wed,3620
119TH STREET E/O WILMINGTON AVENUE,08/14/2011 12:00:00 AM,Sun,6712
119TH STREET E/O WILMINGTON AVENUE,08/13/2011 12:00:00 AM,Sat,8074
119TH STREET E/O WILMINGTON AVENUE,08/12/2011 12:00:00 AM,Fri,8926
119TH STREET E/O WILMINGTON AVENUE,08/11/2011 12:00:00 AM,Thur,8303
119TH STREET W/O MONA BOULEVARD,03/26/2014 12:00:00 AM,Wed,3362
119TH STREET W/O MONA BOULEVARD,08/31/2011 12:00:00 AM,Wed,3719
119TH STREET W/O MONA BOULEVARD,08/30/2011 12:00:00 AM,Tue,3474
119TH STREET W/O MONA BOULEVARD,08/29/2011 12:00:00 AM,Mon,3562
119TH STREET W/O MONA BOULEVARD,06/20/2011 12:00:00 AM,Mon,3604
119TH STREET W/O MONA BOULEVARD,06/19/2011 12:00:00 AM,Sun,2580
119TH STREET W/O MONA BOULEVARD,06/18/2011 12:00:00 AM,Sat,3183
119TH STREET W/O MONA BOULEVARD,06/17/2011 12:00:00 AM,Fri,3896
119TH STREET W/O MONA BOULEVARD,06/16/2011 12:00:00 AM,Thur,3731
WILLOWBROOK AVENUE N/O EL SEGUNDO BOULEVARD (W),12/17/2014 12:00:00 AM,Wed,3804
11TH STREET W E/O BEECHDALE DRIVE,06/05/2013 12:00:00 AM,Wed,1102
120TH STREET E N/O AVENUE E,01/05/2010 12:00:00 AM,Tue,3905
120TH STREET E N/O AVENUE H,05/14/2013 12:00:00 AM,Tue,702
120TH STREET E N/O AVENUE H,01/05/2010 12:00:00 AM,Tue,1166
120TH STREET E S/O AVENUE H,04/10/2013 12:00:00 AM,Wed,232
120TH STREET E/O COMPTON AVENUE,12/04/2011 12:00:00 AM,Sun,5077
120TH STREET E/O COMPTON AVENUE,12/03/2011 12:00:00 AM,Sat,8575
120TH STREET E/O COMPTON AVENUE,12/02/2011 12:00:00 AM,Fri,10468
120TH STREET E/O COMPTON AVENUE,12/01/2011 12:00:00 AM,Thur,10686
120TH STREET E/O COMPTON AVENUE,11/30/2011 12:00:00 AM,Wed,10202
120TH STREET E/O COMPTON AVENUE,11/29/2011 12:00:00 AM,Tue,9326
120TH STREET E/O COMPTON AVENUE,11/28/2011 12:00:00 AM,Mon,9283
120TH STREET E/O ISIS AVENUE,09/12/2012 12:00:00 AM,Wed,9287
120TH STREET E/O NORMANDIE AVENUE,09/15/2012 12:00:00 AM,Sat,6033
120TH STREET E/O NORMANDIE AVENUE,09/14/2012 12:00:00 AM,Fri,8430
120TH STREET E/O NORMANDIE AVENUE,09/13/2012 12:00:00 AM,Thur,8291
120TH STREET E/O NORMANDIE AVENUE,09/23/2008 12:00:00 AM,Tue,8370
WILMINGTON AVENUE S/O 122ND STREET,12/17/2014 12:00:00 AM,Wed,11046
CENTRAL AVENUE S/O 139TH STREET,12/17/2014 12:00:00 AM,Wed,16456
120TH STREET E/O NORMANDIE AVENUE,09/22/2008 12:00:00 AM,Mon,8235
120TH STREET E/O NORMANDIE AVENUE,09/21/2008 12:00:00 AM,Sun,4843
120TH STREET E/O NORMANDIE AVENUE,09/20/2008 12:00:00 AM,Sat,5861
120TH STREET E/O NORMANDIE AVENUE,09/19/2008 12:00:00 AM,Fri,8287
120TH STREET E/O NORMANDIE AVENUE,09/18/2008 12:00:00 AM,Thur,8039
120TH STREET E/O WESTERN AVENUE,05/01/2007 12:00:00 AM,Tue,8239
120TH STREET E/O WESTERN AVENUE,04/30/2007 12:00:00 AM,Mon,9404
120TH STREET W/O COMPTON AVENUE,01/23/2007 12:00:00 AM,Tue,12691
120TH STREET W/O HINDRY AVENUE,09/17/2012 12:00:00 AM,Mon,8808
120TH STREET W/O MONA BOULEVARD,03/31/2014 12:00:00 AM,Mon,856
120TH STREET W/O NORMANDIE AVENUE,09/11/2012 12:00:00 AM,Tue,7050
120TH STREET W/O NORMANDIE AVENUE,09/23/2008 12:00:00 AM,Tue,6713
120TH STREET W/O NORMANDIE AVENUE,09/22/2008 12:00:00 AM,Mon,6716
120TH STREET W/O NORMANDIE AVENUE,09/21/2008 12:00:00 AM,Sun,3555
120TH STREET W/O NORMANDIE AVENUE,09/20/2008 12:00:00 AM,Sat,4350
120TH STREET W/O NORMANDIE AVENUE,09/19/2008 12:00:00 AM,Fri,6697
120TH STREET W/O NORMANDIE AVENUE,09/18/2008 12:00:00 AM,Thur,6489
LAKE AVENUE N/O PALM STREET (N),12/18/2014 12:00:00 AM,Thu,0
120TH STREET W/O PARMELEE AVENUE,09/30/2014 12:00:00 AM,Tue,13026
120TH STREET W/O SUCCESS AVENUE,12/04/2011 12:00:00 AM,Sun,7707
120TH STREET W/O SUCCESS AVENUE,12/03/2011 12:00:00 AM,Sat,10316
120TH STREET W/O SUCCESS AVENUE,12/02/2011 12:00:00 AM,Fri,13904
120TH STREET W/O SUCCESS AVENUE,12/01/2011 12:00:00 AM,Thur,13968
120TH STREET W/O SUCCESS AVENUE,11/30/2011 12:00:00 AM,Wed,12885
120TH STREET W/O SUCCESS AVENUE,11/29/2011 12:00:00 AM,Tue,12140
120TH STREET W/O SUCCESS AVENUE,11/28/2011 12:00:00 AM,Mon,12374
120TH STREET W/O WILMINGTON AVENUE,01/12/2007 12:00:00 AM,Fri,10640
120TH STREET W/O WILMINGTON AVENUE,01/11/2007 12:00:00 AM,Thur,9915
120TH STREET W/O WILMINGTON AVENUE,01/10/2007 12:00:00 AM,Wed,10139
121ST PLACE W/O BREMERTON WAY,01/09/2012 12:00:00 AM,Mon,156
121ST STREET E/O DENKER AVENUE,10/09/2013 12:00:00 AM,Wed,504
121ST STREET E/O HALLDALE AVENUE,10/09/2013 12:00:00 AM,Wed,467
121ST STREET E/O HALLDALE AVENUE,09/16/2011 12:00:00 AM,Fri,462
121ST STREET E/O HALLDALE AVENUE,09/15/2011 12:00:00 AM,Thur,524
121ST STREET E/O HALLDALE AVENUE,09/14/2011 12:00:00 AM,Wed,511
122ND STREET E/O DEFIANCE AVENUE,12/18/2014 12:00:00 AM,Thu,342
121ST STREET E/O HARVARD BOULEVARD,10/09/2013 12:00:00 AM,Wed,473
121ST STREET E/O WESTERN AVENUE,07/22/2013 12:00:00 AM,Mon,441
121ST STREET E/O WILLOWBROOK AVENUE,06/05/2012 12:00:00 AM,Tue,1045
121ST STREET N/O SPRING STREET,04/17/2011 12:00:00 AM,Sun,237
121ST STREET N/O SPRING STREET,04/16/2011 12:00:00 AM,Sat,344
121ST STREET N/O SPRING STREET,04/15/2011 12:00:00 AM,Fri,380
121ST STREET N/O SPRING STREET,04/14/2011 12:00:00 AM,Thur,359
121ST STREET W/O BREMERTON WAY,04/17/2011 12:00:00 AM,Sun,241
121ST STREET W/O BREMERTON WAY,04/16/2011 12:00:00 AM,Sat,270
121ST STREET W/O BREMERTON WAY,04/15/2011 12:00:00 AM,Fri,345
121ST STREET W/O BREMERTON WAY,04/14/2011 12:00:00 AM,Thur,315
121ST STREET W/O DENKER AVENUE,09/17/2011 12:00:00 AM,Sat,378
121ST STREET W/O DENKER AVENUE,09/16/2011 12:00:00 AM,Fri,498
121ST STREET W/O DENKER AVENUE,09/15/2011 12:00:00 AM,Thur,537
121ST STREET W/O DENKER AVENUE,09/14/2011 12:00:00 AM,Wed,537
121ST STREET W/O HARVARD BOULEVARD,09/18/2011 12:00:00 AM,Sun,342
121ST STREET W/O HARVARD BOULEVARD,09/17/2011 12:00:00 AM,Sat,444
122ND STREET E/O GRANDEE AVENUE,12/18/2014 12:00:00 AM,Thu,350
121ST STREET W/O HARVARD BOULEVARD,09/16/2011 12:00:00 AM,Fri,651
121ST STREET W/O HARVARD BOULEVARD,09/15/2011 12:00:00 AM,Thur,642
121ST STREET W/O HARVARD BOULEVARD,09/14/2011 12:00:00 AM,Wed,599
121ST STREET W/O MAIN STREET,04/17/2011 12:00:00 AM,Sun,629
121ST STREET W/O MAIN STREET,04/16/2011 12:00:00 AM,Sat,759
121ST STREET W/O MAIN STREET,04/15/2011 12:00:00 AM,Fri,785
121ST STREET W/O MAIN STREET,04/14/2011 12:00:00 AM,Thur,735
122ND STREET E/O AVIATION BOULEVARD,03/03/2013 12:00:00 AM,Sun,237
122ND STREET E/O AVIATION BOULEVARD,03/02/2013 12:00:00 AM,Sat,274
122ND STREET E/O AVIATION BOULEVARD,03/01/2013 12:00:00 AM,Fri,463
122ND STREET E/O AVIATION BOULEVARD,02/28/2013 12:00:00 AM,Thur,419
122ND STREET E/O AVIATION BOULEVARD,12/11/2012 12:00:00 AM,Tue,620
122ND STREET E/O GRANDEE AVENUE,08/28/2011 12:00:00 AM,Sun,315
122ND STREET E/O GRANDEE AVENUE,08/27/2011 12:00:00 AM,Sat,399
122ND STREET E/O GRANDEE AVENUE,08/26/2011 12:00:00 AM,Fri,398
122ND STREET E/O GRANDEE AVENUE,08/25/2011 12:00:00 AM,Thur,345
122ND STREET E/O SAN PEDRO STREET,10/19/2008 12:00:00 AM,Sun,536
127TH STREET W/O CENTRAL AVENUE,12/18/2014 12:00:00 AM,Thu,379
122ND STREET E/O SAN PEDRO STREET,10/18/2008 12:00:00 AM,Sat,688
122ND STREET E/O SAN PEDRO STREET,10/17/2008 12:00:00 AM,Fri,1181
122ND STREET E/O SAN PEDRO STREET,10/16/2008 12:00:00 AM,Thur,1281
122ND STREET W/O AVALON BOULEVARD,11/28/2012 12:00:00 AM,Wed,1128
122ND STREET W/O GRANDEE AVENUE,08/28/2011 12:00:00 AM,Sun,331
122ND STREET W/O GRANDEE AVENUE,08/27/2011 12:00:00 AM,Sat,379
122ND STREET W/O GRANDEE AVENUE,08/26/2011 12:00:00 AM,Fri,342
122ND STREET W/O GRANDEE AVENUE,08/25/2011 12:00:00 AM,Thur,336
122ND STREET W/O VERMONT AVENUE,05/07/2008 12:00:00 AM,Wed,454
122ND STREET W/O VERMONT AVENUE,05/06/2008 12:00:00 AM,Tue,446
123RD STREET E/O GRANDEE AVENUE,09/26/2010 12:00:00 AM,Sun,1033
123RD STREET E/O GRANDEE AVENUE,09/25/2010 12:00:00 AM,Sat,1258
110TH STREET W N/O AVENUE D,01/07/2010 12:00:00 AM,Thur,118
110TH STREET W N/O AVENUE I,01/10/2010 12:00:00 AM,Sun,397
110TH STREET W N/O AVENUE I,01/09/2010 12:00:00 AM,Sat,412
110TH STREET W N/O AVENUE I,01/08/2010 12:00:00 AM,Fri,487
110TH STREET W N/O AVENUE I,01/07/2010 12:00:00 AM,Thur,450
122ND STREET E/O WILMINGTON AVENUE,12/18/2014 12:00:00 AM,Thu,770
122ND STREET E/O SAN PEDRO STREET,12/18/2014 12:00:00 AM,Thu,998
110TH STREET W N/O AVENUE K,11/27/2012 12:00:00 AM,Tue,1602
110TH STREET W S/O AVENUE D,01/10/2010 12:00:00 AM,Sun,327
110TH STREET W S/O AVENUE D,01/09/2010 12:00:00 AM,Sat,336
110TH STREET W S/O AVENUE D,01/08/2010 12:00:00 AM,Fri,417
110TH STREET W S/O AVENUE D,01/07/2010 12:00:00 AM,Thur,388
110TH STREET W S/O AVENUE I,01/10/2010 12:00:00 AM,Sun,643
110TH STREET W S/O AVENUE I,01/09/2010 12:00:00 AM,Sat,722
110TH STREET W S/O AVENUE I,01/08/2010 12:00:00 AM,Fri,905
110TH STREET W S/O AVENUE I,01/07/2010 12:00:00 AM,Thur,872
110TH STREET W S/O AVENUE K,11/27/2012 12:00:00 AM,Tue,3045
110TH STREET W/O DENKER AVENUE,03/26/2014 12:00:00 AM,Wed,941
110TH STREET W/O NORMANDIE AVENUE,09/24/2013 12:00:00 AM,Tue,1443
110TH STREET W/O NORMANDIE AVENUE,01/09/2008 12:00:00 AM,Wed,1803
110TH STREET W/O NORMANDIE AVENUE,01/08/2008 12:00:00 AM,Tue,1890
110TH STREET W/O NORMANDIE AVENUE,01/07/2008 12:00:00 AM,Mon,1716
110TH STREET W/O VERMONT AVENUE,09/24/2013 12:00:00 AM,Tue,2063
111TH STREET E/O ACACIA AVENUE,05/02/2012 12:00:00 AM,Wed,5107
WILLOWBROOK AVENUE N/O EL SEGUNDO BOULEVARD (E),12/18/2014 12:00:00 AM,Thu,2901
WILLOWBROOK AVENUE N/O EL SEGUNDO BOULEVARD (W),12/18/2014 12:00:00 AM,Thu,3622
111TH STREET E/O ACACIA AVENUE,05/01/2012 12:00:00 AM,Tue,4797
111TH STREET E/O ACACIA AVENUE,04/30/2012 12:00:00 AM,Mon,4763
111TH STREET E/O CONDON AVENUE,02/23/2011 12:00:00 AM,Wed,4889
111TH STREET E/O DALEROSE AVENUE,04/11/2011 12:00:00 AM,Mon,4956
111TH STREET E/O DALEROSE AVENUE,04/10/2011 12:00:00 AM,Sun,4926
111TH STREET E/O DALEROSE AVENUE,04/09/2011 12:00:00 AM,Sat,5097
111TH STREET E/O DALEROSE AVENUE,04/08/2011 12:00:00 AM,Fri,5162
111TH STREET E/O DALEROSE AVENUE,04/07/2011 12:00:00 AM,Thur,5034
111TH STREET E/O DALEROSE AVENUE,04/06/2011 12:00:00 AM,Wed,5234
111TH STREET E/O DALEROSE AVENUE,04/05/2011 12:00:00 AM,Tue,6310
111TH STREET E/O EASTWOOD AVENUE,05/02/2012 12:00:00 AM,Wed,3460
